#
# Class "hotel_db#reservation"
#
@w4hotelReservationNumber|w4hotelReservationState|w4hotelReservationDate|w4hotelReservationClient|w4hotelReservationCheckIn|w4hotelReservationCheckOut|w4hotelReservationNights|w4hotelReservationEstablishment|w4hotelCurrentReservationRooms|w4hotelReservationAdults|w4hotelReservationChildren|w4hotelReservationRooms
1202|2|25/09/2011 00:00:00|1072|30/09/2011 00:00:00|06/10/2011 00:00:00|6|1001|~1013~|1|0|~1013~
1203|2|29/01/2012 00:00:00|1062|03/02/2012 00:00:00|09/02/2012 00:00:00|6|1008|~1086~1081~|1|2|~1086~1081~
1204|0|28/02/2012 00:00:00|1008|04/03/2012 00:00:00|07/03/2012 00:00:00|3|1002|~1024~1022~|2|1|~1024~1022~
1205|2|24/09/2011 00:00:00|1059|30/09/2011 00:00:00|06/10/2011 00:00:00|6|1006|~1064~|1|0|~1064~
1206|2|14/01/2012 00:00:00|1094|21/01/2012 00:00:00|28/01/2012 00:00:00|7|1006|~1063~1067~|1|1|~1063~1067~
1207|2|31/12/2011 00:00:00|1076|05/01/2012 00:00:00|07/01/2012 00:00:00|2|1007|~1076~|2|0|~1076~
1208|1|16/02/2012 00:00:00|1001|18/02/2012 00:00:00|25/02/2012 00:00:00|7|1008|~1081~|1|0|~1081~
1209|2|08/09/2011 00:00:00|1077|16/09/2011 00:00:00|19/09/2011 00:00:00|3|1002|~1022~|2|0|~1022~
1210|2|24/10/2011 00:00:00|1071|27/10/2011 00:00:00|01/11/2011 00:00:00|5|1000|~1007~|1|0|~1007~
1211|2|20/01/2012 00:00:00|1071|25/01/2012 00:00:00|26/01/2012 00:00:00|1|1009|~1098~1092~|2|1|~1098~1092~
1212|1|11/02/2012 00:00:00|1093|13/02/2012 00:00:00|16/02/2012 00:00:00|3|1001|~1015~|1|0|~1015~
1213|1|19/02/2012 00:00:00|1072|25/02/2012 00:00:00|27/02/2012 00:00:00|2|1009|~1090~|1|0|~1090~
1214|2|27/10/2011 00:00:00|1099|04/11/2011 00:00:00|09/11/2011 00:00:00|5|1003|~1038~1032~|2|1|~1038~1032~
1215|2|20/10/2011 00:00:00|1039|21/10/2011 00:00:00|23/10/2011 00:00:00|2|1002|~1025~|2|0|~1025~
1216|2|14/08/2011 00:00:00|1008|22/08/2011 00:00:00|23/08/2011 00:00:00|1|1008|~1089~|1|0|~1089~
1217|1|21/02/2012 00:00:00|1091|26/02/2012 00:00:00|03/03/2012 00:00:00|5|1001|~1012~1010~|1|2|~1012~1010~
1218|2|08/08/2011 00:00:00|1098|12/08/2011 00:00:00|14/08/2011 00:00:00|2|1005|~1058~|2|0|~1058~
1219|2|18/11/2011 00:00:00|1046|26/11/2011 00:00:00|03/12/2011 00:00:00|7|1000|~1002~|1|0|~1002~
1220|0|17/03/2012 00:00:00|1071|22/03/2012 00:00:00|29/03/2012 00:00:00|7|1001|~1019~1013~|2|2|~1019~1013~
1221|2|14/11/2011 00:00:00|1089|14/11/2011 00:00:00|16/11/2011 00:00:00|2|1005|~1051~|1|0|~1051~
1222|0|27/02/2012 00:00:00|1062|08/03/2012 00:00:00|15/03/2012 00:00:00|7|1004|~1045~|2|0|~1045~
1223|2|04/11/2011 00:00:00|1095|09/11/2011 00:00:00|16/11/2011 00:00:00|7|1005|~1053~|1|0|~1053~
1224|2|28/10/2011 00:00:00|1028|03/11/2011 00:00:00|04/11/2011 00:00:00|1|1006|~1066~1064~|1|1|~1066~1064~
1225|0|18/02/2012 00:00:00|1084|20/02/2012 00:00:00|22/02/2012 00:00:00|2|1009|~1090~|2|0|~1090~
1226|2|25/08/2011 00:00:00|1043|29/08/2011 00:00:00|30/08/2011 00:00:00|1|1001|~1015~|1|0|~1015~
1227|2|25/11/2011 00:00:00|1043|03/12/2011 00:00:00|10/12/2011 00:00:00|7|1000|~1004~|2|0|~1004~
1228|2|28/11/2011 00:00:00|1079|02/12/2011 00:00:00|08/12/2011 00:00:00|6|1002|~1020~1021~|2|1|~1020~1021~
1229|2|20/10/2011 00:00:00|1084|29/10/2011 00:00:00|03/11/2011 00:00:00|5|1009|~1095~1096~|2|2|~1095~1096~
1230|2|24/12/2011 00:00:00|1062|24/12/2011 00:00:00|30/12/2011 00:00:00|6|1004|~1049~|2|0|~1049~
1231|0|13/02/2012 00:00:00|1011|14/02/2012 00:00:00|17/02/2012 00:00:00|3|1005|~1058~1059~|2|1|~1058~1059~
1232|0|16/02/2012 00:00:00|1098|16/02/2012 00:00:00|20/02/2012 00:00:00|4|1007|~1072~|2|0|~1072~
1233|2|16/11/2011 00:00:00|1057|19/11/2011 00:00:00|23/11/2011 00:00:00|4|1007|~1072~|1|0|~1072~
1234|2|20/09/2011 00:00:00|1013|24/09/2011 00:00:00|26/09/2011 00:00:00|2|1000|~1002~|2|0|~1002~
1235|2|09/11/2011 00:00:00|1091|12/11/2011 00:00:00|19/11/2011 00:00:00|7|1009|~1095~1096~|2|1|~1095~1096~
1236|2|26/09/2011 00:00:00|1095|02/10/2011 00:00:00|03/10/2011 00:00:00|1|1009|~1094~|2|0|~1094~
1237|2|01/11/2011 00:00:00|1057|10/11/2011 00:00:00|12/11/2011 00:00:00|2|1006|~1069~1067~|1|1|~1069~1067~
1238|2|09/11/2011 00:00:00|1015|15/11/2011 00:00:00|18/11/2011 00:00:00|3|1008|~1083~|2|0|~1083~
1239|2|24/10/2011 00:00:00|1043|27/10/2011 00:00:00|29/10/2011 00:00:00|2|1007|~1074~|2|0|~1074~
1240|2|12/12/2011 00:00:00|1011|13/12/2011 00:00:00|17/12/2011 00:00:00|4|1003|~1039~1033~|1|2|~1039~1033~
1241|2|13/12/2011 00:00:00|1074|20/12/2011 00:00:00|22/12/2011 00:00:00|2|1000|~1002~1001~|1|1|~1002~1001~
1242|2|09/10/2011 00:00:00|1052|11/10/2011 00:00:00|13/10/2011 00:00:00|2|1003|~1037~1034~|1|2|~1037~1034~
1243|1|23/02/2012 00:00:00|1043|25/02/2012 00:00:00|28/02/2012 00:00:00|3|1009|~1092~|2|0|~1092~
1244|0|12/02/2012 00:00:00|1089|12/02/2012 00:00:00|15/02/2012 00:00:00|3|1004|~1040~|1|0|~1040~
1245|2|10/01/2012 00:00:00|1050|10/01/2012 00:00:00|13/01/2012 00:00:00|3|1008|~1082~|1|0|~1082~
1246|2|01/11/2011 00:00:00|1066|10/11/2011 00:00:00|11/11/2011 00:00:00|1|1007|~1079~|2|0|~1079~
1247|2|11/11/2011 00:00:00|1053|11/11/2011 00:00:00|17/11/2011 00:00:00|6|1006|~1068~|2|0|~1068~
1248|2|08/08/2011 00:00:00|1056|17/08/2011 00:00:00|21/08/2011 00:00:00|4|1008|~1089~|2|0|~1089~
1249|0|10/03/2012 00:00:00|1057|16/03/2012 00:00:00|17/03/2012 00:00:00|1|1004|~1048~1042~|1|2|~1048~1042~
1250|2|26/09/2011 00:00:00|1014|04/10/2011 00:00:00|07/10/2011 00:00:00|3|1004|~1044~|1|0|~1044~
1251|2|14/12/2011 00:00:00|1024|15/12/2011 00:00:00|21/12/2011 00:00:00|6|1010|~1108~|1|0|~1108~
1252|0|12/03/2012 00:00:00|1007|16/03/2012 00:00:00|21/03/2012 00:00:00|5|1003|~1039~|2|0|~1039~
1253|2|21/12/2011 00:00:00|1010|21/12/2011 00:00:00|22/12/2011 00:00:00|1|1001|~1015~|1|0|~1015~
1254|2|26/10/2011 00:00:00|1048|04/11/2011 00:00:00|08/11/2011 00:00:00|4|1007|~1073~|1|0|~1073~
1255|2|29/10/2011 00:00:00|1009|31/10/2011 00:00:00|01/11/2011 00:00:00|1|1006|~1065~|2|0|~1065~
1256|2|13/08/2011 00:00:00|1006|18/08/2011 00:00:00|20/08/2011 00:00:00|2|1004|~1049~1040~|2|2|~1049~1040~
1257|2|21/08/2011 00:00:00|1008|30/08/2011 00:00:00|06/09/2011 00:00:00|7|1010|~1104~|2|0|~1104~
1258|2|05/01/2012 00:00:00|1071|10/01/2012 00:00:00|17/01/2012 00:00:00|7|1005|~1050~|1|0|~1050~
1259|2|11/12/2011 00:00:00|1033|12/12/2011 00:00:00|15/12/2011 00:00:00|3|1006|~1065~|1|0|~1065~
1260|2|07/08/2011 00:00:00|1006|11/08/2011 00:00:00|13/08/2011 00:00:00|2|1000|~1005~|2|0|~1005~
1261|2|21/10/2011 00:00:00|1080|22/10/2011 00:00:00|29/10/2011 00:00:00|7|1005|~1059~1056~|2|1|~1059~1056~
1262|2|26/01/2012 00:00:00|1085|27/01/2012 00:00:00|29/01/2012 00:00:00|2|1002|~1028~|2|0|~1028~
1263|2|15/08/2011 00:00:00|1022|19/08/2011 00:00:00|23/08/2011 00:00:00|4|1000|~1003~|1|0|~1003~
1264|2|21/11/2011 00:00:00|1004|24/11/2011 00:00:00|29/11/2011 00:00:00|5|1001|~1016~|1|0|~1016~
1265|2|22/01/2012 00:00:00|1000|25/01/2012 00:00:00|26/01/2012 00:00:00|1|1008|~1088~|1|0|~1088~
1266|2|15/09/2011 00:00:00|1028|16/09/2011 00:00:00|22/09/2011 00:00:00|6|1009|~1096~|1|0|~1096~
1267|2|30/11/2011 00:00:00|1029|09/12/2011 00:00:00|13/12/2011 00:00:00|4|1006|~1068~1060~|2|1|~1068~1060~
1268|2|19/11/2011 00:00:00|1060|20/11/2011 00:00:00|21/11/2011 00:00:00|1|1010|~1100~|1|0|~1100~
1269|2|25/10/2011 00:00:00|1072|02/11/2011 00:00:00|06/11/2011 00:00:00|4|1002|~1020~|2|0|~1020~
1270|2|18/10/2011 00:00:00|1068|19/10/2011 00:00:00|20/10/2011 00:00:00|1|1001|~1018~1014~|2|2|~1018~1014~
1271|1|08/02/2012 00:00:00|1086|13/02/2012 00:00:00|14/02/2012 00:00:00|1|1004|~1047~|2|0|~1047~
1272|2|16/10/2011 00:00:00|1034|22/10/2011 00:00:00|24/10/2011 00:00:00|2|1005|~1050~|1|0|~1050~
1273|2|31/10/2011 00:00:00|1016|08/11/2011 00:00:00|10/11/2011 00:00:00|2|1002|~1026~1022~|1|2|~1026~1022~
1274|2|13/10/2011 00:00:00|1035|22/10/2011 00:00:00|23/10/2011 00:00:00|1|1004|~1042~1043~|1|1|~1042~1043~
1275|2|16/01/2012 00:00:00|1056|18/01/2012 00:00:00|24/01/2012 00:00:00|6|1002|~1022~|2|0|~1022~
1276|2|19/12/2011 00:00:00|1003|20/12/2011 00:00:00|21/12/2011 00:00:00|1|1006|~1061~|1|0|~1061~
1277|2|16/10/2011 00:00:00|1081|18/10/2011 00:00:00|22/10/2011 00:00:00|4|1009|~1099~1097~|1|1|~1099~1097~
1278|2|27/08/2011 00:00:00|1013|30/08/2011 00:00:00|04/09/2011 00:00:00|5|1005|~1053~|2|0|~1053~
1279|2|30/11/2011 00:00:00|1006|05/12/2011 00:00:00|08/12/2011 00:00:00|3|1006|~1069~|2|0|~1069~
1280|2|06/09/2011 00:00:00|1052|08/09/2011 00:00:00|14/09/2011 00:00:00|6|1005|~1056~|1|0|~1056~
1281|2|23/10/2011 00:00:00|1053|31/10/2011 00:00:00|05/11/2011 00:00:00|5|1000|~1001~|1|0|~1001~
1282|2|26/07/2011 00:00:00|1015|29/07/2011 00:00:00|30/07/2011 00:00:00|1|1006|~1065~|1|0|~1065~
1283|2|12/10/2011 00:00:00|1036|12/10/2011 00:00:00|13/10/2011 00:00:00|1|1004|~1045~|2|0|~1045~
1284|2|07/02/2012 00:00:00|1082|10/02/2012 00:00:00|11/02/2012 00:00:00|1|1010|~1109~1103~|1|1|~1109~1103~
1285|1|21/02/2012 00:00:00|1050|27/02/2012 00:00:00|04/03/2012 00:00:00|5|1010|~1105~1104~|2|2|~1105~1104~
1286|2|10/08/2011 00:00:00|1045|11/08/2011 00:00:00|14/08/2011 00:00:00|3|1006|~1069~|1|0|~1069~
1287|0|20/02/2012 00:00:00|1097|24/02/2012 00:00:00|01/03/2012 00:00:00|5|1001|~1015~1018~|2|1|~1015~1018~
1288|2|15/08/2011 00:00:00|1097|16/08/2011 00:00:00|22/08/2011 00:00:00|6|1004|~1047~|2|0|~1047~
1289|2|24/11/2011 00:00:00|1087|26/11/2011 00:00:00|03/12/2011 00:00:00|7|1004|~1043~1042~|2|1|~1043~1042~
1290|1|04/02/2012 00:00:00|1056|11/02/2012 00:00:00|15/02/2012 00:00:00|4|1008|~1082~1089~|2|2|~1082~1089~
1291|2|02/01/2012 00:00:00|1082|05/01/2012 00:00:00|07/01/2012 00:00:00|2|1002|~1021~|1|0|~1021~
1292|0|05/02/2012 00:00:00|1022|14/02/2012 00:00:00|19/02/2012 00:00:00|5|1003|~1038~1031~|1|1|~1038~1031~
1293|2|28/12/2011 00:00:00|1066|05/01/2012 00:00:00|09/01/2012 00:00:00|4|1008|~1086~|1|0|~1086~
1294|2|02/01/2012 00:00:00|1076|10/01/2012 00:00:00|11/01/2012 00:00:00|1|1004|~1040~1045~|1|1|~1040~1045~
1295|2|01/01/2012 00:00:00|1056|03/01/2012 00:00:00|05/01/2012 00:00:00|2|1000|~1002~1001~|2|1|~1002~1001~
1296|2|20/12/2011 00:00:00|1062|27/12/2011 00:00:00|29/12/2011 00:00:00|2|1002|~1028~|2|0|~1028~
1297|2|02/10/2011 00:00:00|1078|09/10/2011 00:00:00|15/10/2011 00:00:00|6|1007|~1070~1074~|1|2|~1070~1074~
1298|2|31/12/2011 00:00:00|1020|06/01/2012 00:00:00|09/01/2012 00:00:00|3|1000|~1002~|1|0|~1002~
1299|1|21/02/2012 00:00:00|1016|22/02/2012 00:00:00|23/02/2012 00:00:00|1|1006|~1064~|2|0|~1064~
1300|2|05/11/2011 00:00:00|1034|09/11/2011 00:00:00|15/11/2011 00:00:00|6|1002|~1029~|2|0|~1029~
1301|2|01/02/2012 00:00:00|1097|04/02/2012 00:00:00|06/02/2012 00:00:00|2|1006|~1064~|1|0|~1064~
1302|2|12/01/2012 00:00:00|1071|12/01/2012 00:00:00|16/01/2012 00:00:00|4|1007|~1071~|2|0|~1071~
1303|2|18/10/2011 00:00:00|1073|18/10/2011 00:00:00|19/10/2011 00:00:00|1|1009|~1096~|2|0|~1096~
1304|2|30/10/2011 00:00:00|1007|03/11/2011 00:00:00|07/11/2011 00:00:00|4|1006|~1068~|2|0|~1068~
1305|0|24/02/2012 00:00:00|1017|04/03/2012 00:00:00|07/03/2012 00:00:00|3|1006|~1060~|1|0|~1060~
1306|2|19/09/2011 00:00:00|1026|26/09/2011 00:00:00|27/09/2011 00:00:00|1|1003|~1030~|1|0|~1030~
1307|2|04/09/2011 00:00:00|1014|12/09/2011 00:00:00|16/09/2011 00:00:00|4|1008|~1088~|2|0|~1088~
1308|2|01/01/2012 00:00:00|1021|08/01/2012 00:00:00|12/01/2012 00:00:00|4|1009|~1090~|1|0|~1090~
1309|2|25/09/2011 00:00:00|1058|27/09/2011 00:00:00|29/09/2011 00:00:00|2|1000|~1008~|2|0|~1008~
1310|2|19/10/2011 00:00:00|1012|20/10/2011 00:00:00|26/10/2011 00:00:00|6|1004|~1046~|1|0|~1046~
1311|2|20/08/2011 00:00:00|1007|28/08/2011 00:00:00|03/09/2011 00:00:00|6|1007|~1073~1075~|2|1|~1073~1075~
1312|2|25/12/2011 00:00:00|1034|02/01/2012 00:00:00|08/01/2012 00:00:00|6|1000|~1006~|1|0|~1006~
1313|2|17/09/2011 00:00:00|1006|21/09/2011 00:00:00|25/09/2011 00:00:00|4|1005|~1059~|1|0|~1059~
1314|2|05/10/2011 00:00:00|1080|14/10/2011 00:00:00|21/10/2011 00:00:00|7|1008|~1082~1083~|2|1|~1082~1083~
1315|2|26/09/2011 00:00:00|1065|29/09/2011 00:00:00|06/10/2011 00:00:00|7|1005|~1054~|2|0|~1054~
1316|2|18/01/2012 00:00:00|1036|25/01/2012 00:00:00|27/01/2012 00:00:00|2|1010|~1108~|2|0|~1108~
1317|2|07/08/2011 00:00:00|1021|10/08/2011 00:00:00|15/08/2011 00:00:00|5|1001|~1013~|1|0|~1013~
1318|2|26/11/2011 00:00:00|1031|04/12/2011 00:00:00|09/12/2011 00:00:00|5|1010|~1101~|2|0|~1101~
1319|0|18/03/2012 00:00:00|1086|18/03/2012 00:00:00|19/03/2012 00:00:00|1|1008|~1089~|2|0|~1089~
1320|1|06/02/2012 00:00:00|1006|11/02/2012 00:00:00|18/02/2012 00:00:00|7|1008|~1080~|1|0|~1080~
1321|2|08/01/2012 00:00:00|1073|14/01/2012 00:00:00|20/01/2012 00:00:00|6|1006|~1067~|1|0|~1067~
1322|0|21/02/2012 00:00:00|1062|25/02/2012 00:00:00|28/02/2012 00:00:00|3|1006|~1063~|1|0|~1063~
1323|2|09/08/2011 00:00:00|1089|16/08/2011 00:00:00|21/08/2011 00:00:00|5|1010|~1100~1107~|2|2|~1100~1107~
1324|2|14/09/2011 00:00:00|1013|23/09/2011 00:00:00|25/09/2011 00:00:00|2|1008|~1088~|2|0|~1088~
1325|2|14/09/2011 00:00:00|1035|14/09/2011 00:00:00|19/09/2011 00:00:00|5|1005|~1051~|2|0|~1051~
1326|2|12/10/2011 00:00:00|1096|19/10/2011 00:00:00|24/10/2011 00:00:00|5|1002|~1022~|1|0|~1022~
1327|2|27/07/2011 00:00:00|1045|30/07/2011 00:00:00|31/07/2011 00:00:00|1|1002|~1025~|1|0|~1025~
1328|0|04/03/2012 00:00:00|1055|09/03/2012 00:00:00|10/03/2012 00:00:00|1|1008|~1083~1086~|2|2|~1083~1086~
1329|2|23/09/2011 00:00:00|1011|01/10/2011 00:00:00|04/10/2011 00:00:00|3|1007|~1071~|2|0|~1071~
1330|2|09/09/2011 00:00:00|1026|15/09/2011 00:00:00|21/09/2011 00:00:00|6|1009|~1093~|2|0|~1093~
1331|1|09/02/2012 00:00:00|1020|18/02/2012 00:00:00|20/02/2012 00:00:00|2|1003|~1030~1032~|2|1|~1030~1032~
1332|2|24/12/2011 00:00:00|1031|31/12/2011 00:00:00|05/01/2012 00:00:00|5|1010|~1108~|1|0|~1108~
1333|2|06/11/2011 00:00:00|1033|13/11/2011 00:00:00|16/11/2011 00:00:00|3|1004|~1041~|2|0|~1041~
1334|2|19/01/2012 00:00:00|1073|27/01/2012 00:00:00|03/02/2012 00:00:00|7|1009|~1099~|2|0|~1099~
1335|2|12/09/2011 00:00:00|1036|15/09/2011 00:00:00|17/09/2011 00:00:00|2|1004|~1041~|2|0|~1041~
1336|1|10/02/2012 00:00:00|1099|11/02/2012 00:00:00|13/02/2012 00:00:00|2|1010|~1103~1101~|2|1|~1103~1101~
1337|2|07/12/2011 00:00:00|1025|08/12/2011 00:00:00|12/12/2011 00:00:00|4|1010|~1104~1108~|1|2|~1104~1108~
1338|0|06/03/2012 00:00:00|1074|07/03/2012 00:00:00|09/03/2012 00:00:00|2|1007|~1071~|1|0|~1071~
1339|2|03/10/2011 00:00:00|1043|04/10/2011 00:00:00|10/10/2011 00:00:00|6|1000|~1007~|2|0|~1007~
1340|0|12/02/2012 00:00:00|1065|18/02/2012 00:00:00|19/02/2012 00:00:00|1|1007|~1071~|1|0|~1071~
1341|2|10/08/2011 00:00:00|1043|14/08/2011 00:00:00|19/08/2011 00:00:00|5|1005|~1052~1059~|1|1|~1052~1059~
1342|0|09/02/2012 00:00:00|1016|17/02/2012 00:00:00|21/02/2012 00:00:00|4|1004|~1043~1041~|2|2|~1043~1041~
1343|2|27/07/2011 00:00:00|1078|27/07/2011 00:00:00|02/08/2011 00:00:00|6|1003|~1033~|1|0|~1033~
1344|2|21/08/2011 00:00:00|1024|23/08/2011 00:00:00|27/08/2011 00:00:00|4|1010|~1104~|1|0|~1104~
1345|2|07/11/2011 00:00:00|1033|16/11/2011 00:00:00|17/11/2011 00:00:00|1|1002|~1021~1025~|1|2|~1021~1025~
1346|2|15/12/2011 00:00:00|1080|21/12/2011 00:00:00|28/12/2011 00:00:00|7|1008|~1083~|2|0|~1083~
1347|2|11/09/2011 00:00:00|1044|17/09/2011 00:00:00|21/09/2011 00:00:00|4|1002|~1028~|2|0|~1028~
1348|2|02/10/2011 00:00:00|1066|11/10/2011 00:00:00|15/10/2011 00:00:00|4|1004|~1044~1047~|1|1|~1044~1047~
1349|2|25/08/2011 00:00:00|1012|28/08/2011 00:00:00|30/08/2011 00:00:00|2|1005|~1056~1055~|1|2|~1056~1055~
1350|2|29/08/2011 00:00:00|1099|04/09/2011 00:00:00|06/09/2011 00:00:00|2|1000|~1005~|1|0|~1005~
1351|1|14/02/2012 00:00:00|1005|14/02/2012 00:00:00|15/02/2012 00:00:00|1|1005|~1053~|1|0|~1053~
1352|2|28/01/2012 00:00:00|1037|04/02/2012 00:00:00|09/02/2012 00:00:00|5|1006|~1068~|1|0|~1068~
1353|2|06/02/2012 00:00:00|1097|09/02/2012 00:00:00|12/02/2012 00:00:00|3|1007|~1077~1078~|2|2|~1077~1078~
1354|2|27/01/2012 00:00:00|1078|02/02/2012 00:00:00|09/02/2012 00:00:00|7|1008|~1089~1087~|2|1|~1089~1087~
1355|2|31/10/2011 00:00:00|1072|09/11/2011 00:00:00|15/11/2011 00:00:00|6|1009|~1093~|1|0|~1093~
1356|0|05/03/2012 00:00:00|1095|09/03/2012 00:00:00|11/03/2012 00:00:00|2|1002|~1023~|2|0|~1023~
1357|2|10/09/2011 00:00:00|1080|18/09/2011 00:00:00|25/09/2011 00:00:00|7|1000|~1007~|1|0|~1007~
1358|2|26/01/2012 00:00:00|1090|30/01/2012 00:00:00|03/02/2012 00:00:00|4|1010|~1106~|2|0|~1106~
1359|2|06/02/2012 00:00:00|1053|11/02/2012 00:00:00|12/02/2012 00:00:00|1|1009|~1093~|1|0|~1093~
1360|2|18/09/2011 00:00:00|1099|26/09/2011 00:00:00|29/09/2011 00:00:00|3|1000|~1003~|1|0|~1003~
1361|2|30/09/2011 00:00:00|1067|03/10/2011 00:00:00|05/10/2011 00:00:00|2|1005|~1050~|2|0|~1050~
1362|2|26/07/2011 00:00:00|1040|03/08/2011 00:00:00|08/08/2011 00:00:00|5|1009|~1092~|1|0|~1092~
1363|2|12/11/2011 00:00:00|1007|17/11/2011 00:00:00|19/11/2011 00:00:00|2|1000|~1005~|1|0|~1005~
1364|2|14/11/2011 00:00:00|1098|22/11/2011 00:00:00|24/11/2011 00:00:00|2|1002|~1023~|2|0|~1023~
1365|2|25/10/2011 00:00:00|1082|03/11/2011 00:00:00|07/11/2011 00:00:00|4|1002|~1021~1025~|1|1|~1021~1025~
1366|2|19/09/2011 00:00:00|1029|23/09/2011 00:00:00|29/09/2011 00:00:00|6|1010|~1104~|2|0|~1104~
1367|2|21/09/2011 00:00:00|1071|23/09/2011 00:00:00|28/09/2011 00:00:00|5|1002|~1028~|2|0|~1028~
1368|2|20/08/2011 00:00:00|1077|23/08/2011 00:00:00|26/08/2011 00:00:00|3|1002|~1026~1020~|2|1|~1026~1020~
1369|2|26/12/2011 00:00:00|1083|29/12/2011 00:00:00|04/01/2012 00:00:00|6|1005|~1057~|2|0|~1057~
1370|2|02/09/2011 00:00:00|1052|08/09/2011 00:00:00|09/09/2011 00:00:00|1|1002|~1022~|1|0|~1022~
1371|0|14/03/2012 00:00:00|1018|16/03/2012 00:00:00|20/03/2012 00:00:00|4|1007|~1075~|2|0|~1075~
1372|1|12/02/2012 00:00:00|1025|19/02/2012 00:00:00|22/02/2012 00:00:00|3|1010|~1106~1109~|1|1|~1106~1109~
1373|2|11/09/2011 00:00:00|1097|20/09/2011 00:00:00|26/09/2011 00:00:00|6|1003|~1032~|1|0|~1032~
1374|2|20/11/2011 00:00:00|1061|27/11/2011 00:00:00|28/11/2011 00:00:00|1|1009|~1094~|2|0|~1094~
1375|2|23/12/2011 00:00:00|1014|27/12/2011 00:00:00|01/01/2012 00:00:00|5|1000|~1004~|1|0|~1004~
1376|0|08/03/2012 00:00:00|1002|14/03/2012 00:00:00|21/03/2012 00:00:00|7|1008|~1088~|2|0|~1088~
1377|2|24/11/2011 00:00:00|1045|24/11/2011 00:00:00|30/11/2011 00:00:00|6|1006|~1063~|1|0|~1063~
1378|2|11/01/2012 00:00:00|1062|17/01/2012 00:00:00|18/01/2012 00:00:00|1|1006|~1063~|1|0|~1063~
1379|2|26/11/2011 00:00:00|1044|02/12/2011 00:00:00|08/12/2011 00:00:00|6|1010|~1105~|1|0|~1105~
1380|0|03/03/2012 00:00:00|1027|08/03/2012 00:00:00|11/03/2012 00:00:00|3|1006|~1065~|2|0|~1065~
1381|2|15/11/2011 00:00:00|1029|21/11/2011 00:00:00|27/11/2011 00:00:00|6|1005|~1055~|1|0|~1055~
1382|2|13/01/2012 00:00:00|1005|14/01/2012 00:00:00|19/01/2012 00:00:00|5|1001|~1014~1017~|1|1|~1014~1017~
1383|2|25/10/2011 00:00:00|1018|27/10/2011 00:00:00|01/11/2011 00:00:00|5|1002|~1024~|1|0|~1024~
1384|2|07/09/2011 00:00:00|1003|11/09/2011 00:00:00|14/09/2011 00:00:00|3|1003|~1035~|1|0|~1035~
1385|0|19/02/2012 00:00:00|1096|26/02/2012 00:00:00|27/02/2012 00:00:00|1|1005|~1053~|1|0|~1053~
1386|1|11/02/2012 00:00:00|1061|14/02/2012 00:00:00|16/02/2012 00:00:00|2|1000|~1001~|1|0|~1001~
1387|2|03/01/2012 00:00:00|1060|07/01/2012 00:00:00|12/01/2012 00:00:00|5|1002|~1022~1029~|2|2|~1022~1029~
1388|0|18/02/2012 00:00:00|1003|25/02/2012 00:00:00|28/02/2012 00:00:00|3|1000|~1003~|2|0|~1003~
1389|2|18/12/2011 00:00:00|1010|26/12/2011 00:00:00|30/12/2011 00:00:00|4|1009|~1090~|1|0|~1090~
1390|2|06/12/2011 00:00:00|1047|12/12/2011 00:00:00|16/12/2011 00:00:00|4|1004|~1048~1047~|1|2|~1048~1047~
1391|2|05/01/2012 00:00:00|1088|06/01/2012 00:00:00|10/01/2012 00:00:00|4|1007|~1075~|2|0|~1075~
1392|0|17/02/2012 00:00:00|1034|19/02/2012 00:00:00|20/02/2012 00:00:00|1|1010|~1107~1108~|1|2|~1107~1108~
1393|2|13/10/2011 00:00:00|1004|16/10/2011 00:00:00|22/10/2011 00:00:00|6|1003|~1032~|2|0|~1032~
1394|2|10/09/2011 00:00:00|1001|19/09/2011 00:00:00|21/09/2011 00:00:00|2|1006|~1068~1061~|2|1|~1068~1061~
1395|2|12/12/2011 00:00:00|1078|14/12/2011 00:00:00|20/12/2011 00:00:00|6|1000|~1008~|2|0|~1008~
1396|2|11/09/2011 00:00:00|1009|15/09/2011 00:00:00|22/09/2011 00:00:00|7|1007|~1076~|2|0|~1076~
1397|0|11/03/2012 00:00:00|1002|17/03/2012 00:00:00|24/03/2012 00:00:00|7|1009|~1097~|2|0|~1097~
1398|2|18/10/2011 00:00:00|1052|21/10/2011 00:00:00|23/10/2011 00:00:00|2|1003|~1039~|1|0|~1039~
1399|0|03/03/2012 00:00:00|1013|04/03/2012 00:00:00|09/03/2012 00:00:00|5|1004|~1043~|2|0|~1043~
1400|2|13/11/2011 00:00:00|1058|17/11/2011 00:00:00|21/11/2011 00:00:00|4|1000|~1002~1009~|2|2|~1002~1009~
1401|2|31/08/2011 00:00:00|1027|06/09/2011 00:00:00|07/09/2011 00:00:00|1|1003|~1032~1035~|1|2|~1032~1035~
1402|2|27/08/2011 00:00:00|1063|28/08/2011 00:00:00|01/09/2011 00:00:00|4|1007|~1079~1070~|1|2|~1079~1070~
1403|2|14/11/2011 00:00:00|1044|20/11/2011 00:00:00|26/11/2011 00:00:00|6|1008|~1085~|2|0|~1085~
1404|2|29/08/2011 00:00:00|1073|03/09/2011 00:00:00|04/09/2011 00:00:00|1|1009|~1099~|1|0|~1099~
1405|2|20/08/2011 00:00:00|1084|25/08/2011 00:00:00|30/08/2011 00:00:00|5|1002|~1024~1028~|1|1|~1024~1028~
